,town,type,name,bind_ind,page_ind,description,Quip,Utility Unlocks,Unused,Sprite,Chinese Name,Chinese Description,Spanish Name,Description,French Name,Description,Japanese Name,Description,Portuguese Name,Description,Korean Name,Description
sprg_hist_c,Spring Hamlet,history,The Rot Descends,2,2,"It first came from Autumn Town, crawled down the steppes and wreaked havoc on our resources. Our fauna grows back quickly but now oozes congeal in every corner of the Hamlet. We never thought it'd reach us at the base of the Grove, but now even humble farmers are scared to work.",,,,,,,,,,,,,,,,
sprg_hist_d,Spring Hamlet,history,An Age of Bravery,1,1,"Few dared to face our fetid foe face-to-face. However, those who stepped up and found victory against them gained favor quickly. Those in Autumn Town came to call these Grove-chosen heroes their Guardians.",,obj_npc_requestboard_spr,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
sprg_ecgl_a,Spring Hamlet,ecology,A Lush Greenswood,1,0,"Within Spring Hamlet, the Grove's lifecycle flourishes. And within Spring Hamlet's own ecosystem, we can see that sentiment echoed. Our soil is the most fertile, lands brimming with material ready for plucking. If the Hamlet is the heart of the Grove, the rivers are our veins, pushing our abundance of Dew to every corner of the Grove. What the local forage lacks in sturdiness and size, they make up for in flexibility and variety of use.",,obj_pillar_spr,,,,,,,,,,,,,,
sprg_ecgl_b,,,The Paperbark,1,0,,,,,,,,,,,,,,,,,
sprg_ecgl_c,Spring Hamlet,ecology,Rot Temperament,1,1,"The Rot of Spring Hamlet seems much more docile than the variations beyond the village's circle. Most issues seem to come from rotting roots growing into our town. Their numbers are small, though villagers have still sought the sturdier resources of Autumn Town.",,obj_box_storage_village,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
sprg_stdy_a,Spring Hamlet,study,Building Fundamentals,1,0,"Though brimming with resources, the Hamlet's local materials can often be lacking in substantial structure. Relying on stronger, naturally occurring structures can lead to superior structure and resource efficiency.",,,,,,,,,,,,,,,,
sprg_study_b,Spring Hamlet,study,Dew Cleansing,1,0,"The rivers play an important role in Dew dispersion, but can often taint our lifesource with impurities. There are many ways to filter out these elements for a clearer, brighter, and more potable product for consumption. One such way is to utilize the Hamlet's plentiful sap gobs.",,obj_box_wood,,,,,,,,,,,,,,
sprg_study_c,Spring Hamlet,study,Basic Woodforging,1,0,"Despite the soft woods of the Hamlet, woodsmiths have dedicated long nights to creating viable tools for Villagers here. By utilizing the healing properties of the Hamlet's waters, the greenest of woods can be made to withstand the heaviest stressors.",,obj_decor_fence_spr,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
sprg_cltr_a,Spring Hamlet,culture,The Simple Lifestyle,1,0,"The denizens of this small in-between town have shown themselves to be witty, creative, and kind. However, as I've seen during harsher months, even small amounts of stress cause strife between them. While their immediate needs are met, each villager struggles with their own personal issues. Villagers are highly social, and as such, stresses can have compounding effects in this tight community.",,obj_lamp_spr,,,,,,,,,,,,,,
sprg_cltr_b,Spring Hamlet,culture,Vital Exchange,1,0,"As the Grove's greenest locale and central location, the Hamlet is the heart of trade between towns. Without its resources, expansion to the outer reaches of the Grove would have been impossible. The inter-town paths play a vital role in transportation and socialization. Without them, each town would stagnate and suffer economically and culturally.",,,,,,,,,,,,,,,,
sprg_cltr_c,Spring Hamlet,culture,Guardian Plum,1,0,"A stalwart pillar of the community, Plum rarely leaves the Hamlet. True to their hometown, Plum has shirked the inter-town tendencies of the other Guardians, choosing instead to extend help to the Hamlet's many villagers. Tender and humble, the Hamlet could never imagine a world without their Plum.",,obj_chair_base,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Summer Bar,,,,,,,,,,,,,,,,,,,,,
smr_hist_a,Summer Bar,history,Aquatic Ancestry,1,0,"The Summer Bar was first pioneered by various Seafolk. As they one-by-one emerged from the Sea, they lived a primitive yet self-sufficient life as a community. They conducted small trade through any Frog brave enough to interact with them.",,obj_unb_bell,,,,,,,,,,,,,,
smr_hist_b,Summer Bar,history,A New Horizon,1,0,"From afar, the Guardians of the Grove inspired us, and many sought to expand their horizons beyond the sand. Those Greenlings sufficient in knowledge gathered to build a grand dock: Vista Outpost. It was to serve as their threshold to a new frontier.",,obj_lamp_smr,,,,,,,,,,,,,,
smr_hist_c,Summer Bar,history,An Abrupt End,1,0,"Just as Vista Outpost began to flourish, the Guardians' Maiden Voyage never returned. Many of the Greenlings who started the Outpost left. The Seafolk who are unable to call any other place home remain, carrying the painful memory of what the town was meant to be.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
smr_stdy_a,Summer Bar,study,Marvelous Mechanisms,1,0,"The newest village, Vista Outpost was built with new-wave architecture. It is the only thing that allows us to sustain trade so far from the Grove's center. Still, much of it is sadly incomplete. Only our most agile dowsers are able to manipulate our many underwater contraptions fast enough.",,,,,,,,,,,,,,,,
smr_stdy_b,Summer Bar,study,Birthplace: The Sea,1,0,"Seafolk are aquatic animals that have gained sentience through coming into contact with the life-sustaining Dew within the Grove. Hungry for knowledge, they come on land to grow their connection with the Grove's denizens. Unfortunately, their need for Seawater forces them to straddle the strip between the Sea and the Grove.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
smr_culture_a,Summer Bar,culture,Amphibious Neighbors,1,0,"While smaller, Lilyputt's founding predates the Outpost's construction. Many of the Rivers' frogs felt kinship with their fellow waterborne Seafolk and settled nearby. While their relationship once flourished, hard times have severed most physical and social connections between the Villages.",,obj_decor_fence_smr,,,,,,,,,,,,,,
smr_culture_b,Summer Bar,culture,Guardian: Blue,1,0,"As Blue was a conglomeration of organisms, many relations were drawn between our Guardian and the encroaching Rot found in Autumn Town. Many questions were raised as to whether Oozes were capable of holding the same characteristics as Seafolk. However, Blue became an intense fighter, intent to prove their loyalty to the others who resisted the Rot.",,obj_beach_umbrella_a,,,,,,,,,,,,,,
smr_culture_c,Summer Bar,culture,Sandy Cacti,1,0,"Most Cacti that grow in the Summer Bar don't hold enough Dew to become conscious. The further from the center of the Grove, the harder it is for Dew to reach people. Some Seafolk feel the weight of their existence, intent to take care of their Dew-less neighbors.",,obj_box_stone,,,,,,,,,,,,,,
smr_culture_d,Summer Bar,culture,Greenling Leader,1,0,"Odd as it is, Saguaro is the vocal leader of Vista Outpost. While the Seafolk are determined to represent themselves in the Grove, many see following the large Cacti as their commitment to life-on-land. ""Not like I can go anywhere,"" Saguaro says, rooted like many Greenlings, unable to leave the Summer Bar.",,obj_chair_double,,,,,,,,,,,,,,
,,,Waterlog Reconstruction,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
smr_ecology_a,Summer Bar,ecology,A Slice of Sea,1,0,"Upon reaching the Sea, most Dew is too thin to do much. However, its life-giving force still creates an atmosphere of rapid growth. Its power is so potent, certain aquatic flora find it possible to grow above water.",,obj_pillar_smr,,,,,,,,,,,,,,
smr_ecology_b,Summer Bar,ecology,The Waterlog,1,0,"Though the Summer Bar still holds a fair amount of dew, more fibrous plant life find it hard to grow in salted earth. Most of the Outpost's local materials are procured from the Waterlog, an artificial mine built from a dead branch of the Grove.",,obj_npc_requestboard_smr,,,,,,,,,,,,,,
smr_ecology_c,Summer Bar,ecology,Guardian: Hop,1,0,,,,,,,,,,,,,,,,,
,Autumn Town,,,,,,,,,,,,,,,,,,,,,
atm_study_a,Autumn Town,study,Autumn Materials,1,0,"Without proper materials and practice, most construction can be difficult to maintain over a long period of time. By using Autumn Town's innately drought-resistant materials, even apprentice builders can create lasting structures from scratch!",,obj_decor_fence_atm,,,,,,,,,,,,,,
atm_study_b,Autumn Town,study,Advanced Building,1,0,"While many consider the town's high-altitude inherently hazardous, the foundations of Autumn Town are built into the sturdy roots of the Grove. A natural foundation ensures that the town will never fall so long as the island itself stands.",,obj_lamp_atm,,,,,,,,,,,,,,
atm_study_c,Autumn Town,ecology,Reclamation through Rot,1,0,"Most of what grows here doesn't live long. The ground is too dry. But we've found ways to adapt. The old mines, moist and dark, have given birth to a fascinating new creature. Tiny organisms who conglomerate to feed on dying crops. We can use their byproducts to fertilize our soil. Even without the voice of the Grove, we can thrive.",,,,,,,,,,,,,,,,
atm_study_d,Autumn Town,ecology,Ooze Behavior,1,0,"Our town has flourished. These lands were rife with challenging conditions, yet we have created an endless bounty of gardened goods the entire Grove. Our Sewer continues to be a lifespring for our town, even freeing water from the very Grove. As I speak, Rot begins to congeal around the roots of the Grove itself. Who knows what wonders it will perform on our island? ",,,,,,,,,,,,,,,,
atm_study_e,Autumn Town,ecology,Rot: Hay Mimic,1,0,"As the villagers got more and more aggressive against the Sewer's Oozes, the Rot began to hide within the wheat they eat. Some even donned it as both a protective shield and a disguise among the overgrown fields of Autumn Town.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
atm_hist_a,Autumn Town,history,The First True Town,1,0,"When the first of our pioneers left Spring Hamlet, they turned their backs on the luxury it offered. They welcomed hardship with open arms, and so soon did their pilgrimage bear harvest. Autumn Town was born from the harsh environment, its sturdy forage inspiring a feat of architecture that no other village in the Grove would rival.",,obj_chair_atm,,,,,,,,,,,,,,
atm_hist_b,Autumn Town,history,An Autumn Age,1,0,"In our new environment, we found weeds. Now, we grow crops essential to the entire Grove. Through selective propagation, we created crops more capable of resisting the harsh winds, materials harder than anything grown before. The life we found at the foundation of our town only strengthens our ability to persist in this arid world.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
atm_hist_d,Autumn Town,history,Guardian: Cane,1,0,"Cane wasn't always welcome in Autumn Town. Many feared for their safety, as the Autumn wind was not kind to their amphibian skin. But when the Rot first came, combat was unknown to the Grove. Where our words failed us, Cane used brute force to create safety in a dangerous time.",,obj_npc_requestboard_atm,,,,,,,,,,,,,,
atm_hist_e,Autumn Town,history,Found Journal,1,0,"More have left. With each week, I see less of my neighbors and more Rot. We should have never used the Sewers. Not like that. Many are returning to Spring Hamlet. Haupia team is suggesting everyone move farther down. We'll bide our time on the foundations of Autumn Town until we can find a way to fix our home.",,,,,,,,,,,,,,,,
atm_hist_f,Autumn Town,history,The Final Collapse,1,0,"Autumn Town is gone. Most of it, anyways. The Grove's root, which once cradled and embraced our city, gave way to the Rot. Most of Autumn Town sank away into the sea. I take solace only in the fact that almost everyone was able to get somewhere safe, and those who fled to the steps of the city still cling to the dream-come-true that was our beautiful town.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
atm_culture_a,Autumn Town,culture,Merchant-Grower Society,1,0,"Though most in the early days of Autumn Town lived to spite the Hamlet's easy-going culture, it soon became clear that they'd have to trade with the other towns to survive. Autumn Town grew what others could not, and they soon relied on a complex import-export relationship with the rest of the Grove.",,,,,,,,,,,,,,,,
atm_culture_b,Autumn Town,culture,Leaflet Minting,1,0,"To tally their contributions and debts, the villagers of Autumn Town created a currency. Though previously unused in a mainly barter-centric Grove, it soon became a coveted resource for trade. Unfortunately, the Rot's fascination with the shiny coins meant they would need to continually mint the currency.",,,,,,,,,,,,,,,,
atm_culture_c,Autumn Town,culture,Morbid Thought,1,0,"While many Greenling were horrified by the Rot's ability to consume plants, many were resigned to continue Rot cultivation in order to keep Autumn Town growing. For many moons, early Autumn Town was silent, its peoples having to reckon with the ensuing discomfort.",,obj_pillar_atm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Winter Thicket,,,,,,,,,,,,,,,,,,,,,
wtr_study_a,Winter Thicket,study,Ruins,0,0,"In the early day of Greenlings, most stayed away from the Glade, intent on staying warm within the Hamlet. The few who were brave enough to enter found themselves within the ruins of an old town. Even stranger, their etched stone seemed to command powers beyond the Hamlet's understanding.",,obj_decor_fence_wtr,,,,,,,,,,,,,,
wtr_study_b,Winter Thicket,study,Old World,1,0,"Those who came before the Hamlet seem to be mostly related to the Greenlings, their greatest achievements left decaying in Winter Glade. To this day, their skilled masonry supports the foundation of the Glade, and continues to make the land livable for outsiders drawn to the Mists.",,,,,,,,,,,,,,,,
wtr_study_c,Winter Thicket,study,Shooting Stars,1,0,"Not much can be translated from the old relics of the Mists. From what we've gleaned, their beliefs centered strongly around the Grove's life-force and its origins. Most believe the Crystal to come from the sky, evidenced by the bright streaks of light that continually move across the night sky.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
wtr_culture_a,Winter Thicket,culture,The Few,1,0,"As the smallest community, Winter Glade is proud. All villagers maintain a strong interpersonal relationship with each other. Quite often, our desire to focus on specific, enriching friendships is mistaken as mistrust of outsiders. While some do feel that way, most are willing to give a helping hand in times of need.",,obj_lamp_wtr,,,,,,,,,,,,,,
wtr_culture_b,Winter Thicket,culture,An Enchanted Forest,1,0,"The first few willing to live in the Glade found themselves seeming to form a closer connection to the Grove. Through its supernatural guidance, some travelled through the forest and reached sacred parts of the Grove.",,,,,,,,,,,,,,,,
wtr_culture_c,Winter Thicket,culture,Kindling,1,0,"Given the frigid forest that surrounds Winter Glade, many villagers find solace in fire. Though normally forbidden in the rest of the Grove, our village is built around a mighty hearth that sustains our bearable climate. To prevent over-use of burning material, entry for the Glade is more strictly regulated.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
wtr_hist_a,Winter Thicket,history,The Founding,1,0,"In early day, no one wished to live near the Mists. A few outcasts felt their calling in the deeper forests, east of Spring Hamlet, where the rain froze to ice. At first, they focused only on providing warmth and sustainability to the region. Grand thermal ducts and forges laid new paths into the once frosty foundations of the Glade.",,obj_chair_winter,,,,,,,,,,,,,,
wtr_hist_b,Winter Thicket,history,Guardian Mandy,1,0,"When Mandy appeared from the Mists, we knew they'd be Winter Glade's Guardian. An unmistakably sun-like aura, their warm precense in our snowy region was deeply embraced. Though not much is known about Mandy, even to themselves, most believe them to be a denizen of the people before us.",,,,,,,,,,,,,,,,
wtr_hist_e,Winter Thicket,history,Old Beliefs,1,0,"While the Grove waned more and more, our people became desparate for a solution. Our scribes pored endlessly over the Old World's texts. Finally, Ledidi came forward with an idea: secure another source of Mana for the Grove. So we all set out for the Summer Bar to develop new watercraft and sailing technology. After watching the night's sky for so long, we were finally shooting stars we spent so long watching.",,,,,,,,,,,,,,,,
wtr_hist_c,Winter Thicket,history,A Cold Village,1,0,"After the Guardians left the Grove and never returned, the morale of our people waned. We chose to once again restore Winter Glade to a closed community, intent on preserving our security and tradition in a new age of strife.",,obj_pillar_wtr,,,,,,,,,,,,,,
wtr_hist_d,Winter Thicket,history,Mandy's Farewell,1,0,"In their grief, Mandy spent more time in the Mists, communing with its magical waters. In their continuing haze they found fragments of the Grove's consciousness. They returned to the Glade less and less, and after a while, announced that they would not leave without an answer to the island's troubles. They were not seen since.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
wtr_eco_b,Winter Thicket,ecology,Rot: Snowcap,1,0,"Within our closed community, the Rot originally had difficulty congealing in a cold climate. Recently, they have adapted to the snow, utilizing the other-worldly properties of the Mists. Rot who are able to produce their own Crystal walk the Mists and snows with relative ease, like the Guardians.",,obj_npc_requestboard_wtr,,,,,,,,,,,,,,
wtr_eco_c,Winter Thicket,ecology,The Mists,1,0,"Dangerous to most because of its frost, the Mists are rarely tread, deemed safe only for Guardians. Those who have walked the icy forest say it is a supernatural extension of the Grove, connected to its ever-sleeping mind.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
buffs_a,,,,,,I could describe Buffs in detail here,,,,,,,,,,,,,,,,
