  ,name,town,x,y,width,height,song,vibe,type,Chinese,Spanish,French,Japanese,Portuguese,Korean
r_reefridge,Рифовый хребет,Летний Бар,25,26,2,2,song_smr_wild,,outside,,,,,,
r_summerend,Конец Лета,Летний Бар,25,24,3,2,song_smr_wild,,outside,,,,,,
,,Летний Бар,,,,,,,outside,,,,,,
r_home_smr,Старый Маяк,Летний Бар,21,26,0,0,song_home,,inside,,,,,,
r_library_smr,Туристический Центр,Летний Бар,20,26,0,0,song_academic,,inside,,,,,,
r_waterlog_a,Болото,Летний Бар,25,24,2,2,song_smr_dungeon,,inside,,,,,,
r_waterlog_b,Глубины,Летний Бар,25,24,2,2,song_smr_dungeon,,inside,,,,,,
,,,,,,,,,,,,,,,
r_grandsquare,Многолетняя площадь,Осенний город,8,15,3,3,song_atm_wild,,outside,,,,,,
,,Осенний город,,,,,,,,,,,,,
r_city_road,Городская дорога,Осенний город,8,11,2,2,,,outside,,,,,,
r_wheatfield,Пшеничное поле,Осенний город,9,9,3,2,,,outside,,,,,,
r_wheatfield_shed,Сарай на Пшеничном поле,Осенний город,9,7,0,0,,,outside,,,,,,
r_puzzleplateau,Вход в канализацию,Осенний город,6,11,2,2,song_atm_wild,,outside,,,,,,
,,Осенний город,,,,,,,,,,,,,
,,Осенний город,,,,,,,,,,,,,
r_secondsteppe,Вторая Степь,Осенний город,7,13,1,1,song_atm_wild,,outside,,,,,,
r_plantationvillage,Деревня Плантаций,Осенний город,6,14,2,1,,,outside,,,,,,
r_firststeppe,Первая Степь,Осенний город,6,15,1,1,song_atm_wild,,outside,,,,,,
r_breezywalkabout,Свежая прогулка,Осенний город,6,16,2,1,song_atm_wild,,outside,,,,,,
,,Осенний город,,,,,,,,,,,,,
r_library_atm,Архив наследия,Осенний город,6,14,2,1,song_academic,,inside,,,,,,
r_home_atm,Теплица,Осенний город,9,12,0,0,song_home,,inside,,,,,,
r_sewer_a,Верхняя Канализация,Осенний город,6,9,0,0,song_atm_dungeon,,inside,,,,,,
r_sewer_b,Старые Корни,Осенний город,6,9,0,0,song_atm_dungeon,,inside,,,,,,
r_sewer_c,Глубокие Катакомбы,Осенний город,6,9,0,0,song_atm_dungeon,,inside,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
r_waterfall,Замерзший водопад,Зимняя чаща,17,12,3,3,,,outside,,,,,,
r_twilightpaddy,Сумеречный Пэдди,Зимняя чаща,21,18,2,2,song_wtr_wild,,outside,,,,,,
r_brokenblockade,Кубический Берег,Зимняя чаща,23,18,1,1,song_wtr_wild,,outside,,,,,,
r_winterglade,Зимняя поляна,Зимняя чаща,21,15,3,3,,,outside,,,,,,
r_mistyclearing,Туманная Поляна,Зимняя чаща,18,15,3,2,,,outside,,,,,,
r_wonderpond,Чудо-пруд,Зимняя чаща,20,14,1,1,song_wtr_wild,,outside,,,,,,
r_lostgarden,Потерянный сад,Зимняя чаща,20,12,1,2,song_wtr_wild,,outside,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
r_themists,Туманы,Зимняя чаща,21,12,3,3,song_wtr_dungeon,,outside,,,,,,
r_mists_temple,Храм Туманов,Зимняя чаща,20,8,2,4,song_mystic,,outside,,,,,,
r_temple_inner,Купель,Зимняя чаща,13,7,5,3,song_final_room,,inside,,,,,,
r_library_wtr,Логово Хранителя свитков,Зимняя чаща,23,18,0,0,song_academic,,inside,,,,,,
r_home_wtr,Покосившаяся Хижина,Зимняя чаща,19,15,0,0,song_home,,inside,,,,,,
,,,,,,,,,,,,,,,
r_theworld,Мир,Весенняя Деревня,12,1,8,11,,,inside,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
r_grandsquare_demo,Многолетняя площадь,Весенняя Деревня,8,15,3,3,song_spr_day,,outside,,,,,,
r_city_road_demo,Городская дорога,Осенний город,8,11,2,2,,,outside,,,,,,
r_wheatfield_demo,Пшеничное поле,Осенний город,9,9,3,2,,,outside,,,,,,
r_wheatfield_shed_demo,Сарай на Пшеничном поле,Осенний город,9,7,0,0,,,outside,,,,,,
r_puzzleplateau_demo,Вход в канализацию,Осенний город,6,11,2,2,,,outside,,,,,,
r_home_atm_demo,Теплица,Осенний город,9,12,0,0,song_home,,inside,,,,,,
r_sewer_demo,Глубины канализации,Осенний город,6,9,0,0,song_atm_dungeon,,inside,,,,,,
